Crop,Crop_Stage,Sowing_Date,Disease
Chickpea,Vegetative Growth,2024-11-18,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-20,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-11,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-13,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-12,Collar Rot
Chickpea,Germination and Emergence,2024-11-19,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-14,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-15,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-22,Dry Root Rot
Chickpea,Harvest Stage,2024-10-05,Rust
Chickpea,Harvest Stage,2024-11-21,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-23,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-09,Collar Rot
Chickpea,Harvest Stage,2024-10-24,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-10,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-21,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-04,Rust
Chickpea,Harvest Stage,2024-11-25,Collar Rot
Chickpea,Vegetative Growth,2024-11-09,Dry Root Rot
Chickpea,Harvest Stage,2024-10-07,Rust
Chickpea,Harvest Stage,2024-10-06,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-10,Rust
Chickpea,Germination and Emergence,2024-10-11,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-02,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-06,Collar Rot
Chickpea,Harvest Stage,2024-10-18,Collar Rot
Chickpea,Germination and Emergence,2024-10-20,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-02,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-05,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-03,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-13,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-31,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-04,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-14,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-02,Dry Root Rot
Chickpea,Harvest Stage,2024-11-04,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-21,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-04,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-28,Collar Rot
Chickpea,Vegetative Growth,2024-11-13,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-07,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-27,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-27,Rust
Chickpea,Harvest Stage,2024-10-11,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-05,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-01,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-27,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-11,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-12,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-05,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-14,Dry Root Rot
Chickpea,Harvest Stage,2024-11-28,Collar Rot
Chickpea,Vegetative Growth,2024-11-07,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-10,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-23,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-10,Rust
Chickpea,Germination and Emergence,2024-10-02,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-13,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-12,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-13,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-04,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-14,Rust
Chickpea,Harvest Stage,2024-10-08,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-14,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-21,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-23,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-21,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-05,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-18,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-21,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-16,Collar Rot
Chickpea,Germination and Emergence,2024-10-11,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-23,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-11,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-06,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-24,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-03,Collar Rot
Chickpea,Vegetative Growth,2024-11-13,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-06,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-12,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-14,Rust
Chickpea,Vegetative Growth,2024-11-13,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-29,Collar Rot
Chickpea,Germination and Emergence,2024-10-30,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-11,Dry Root Rot
Chickpea,Harvest Stage,2024-10-30,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-12,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-05,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-01,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-01,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-01,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-14,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-07,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-25,Collar Rot
Chickpea,Harvest Stage,2024-10-19,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-18,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-11,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-14,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-29,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-12,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-04,Rust
Chickpea,Harvest Stage,2024-10-27,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-07,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-18,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-14,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-01,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-04,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-07,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-18,Dry Root Rot
Chickpea,Harvest Stage,2024-10-12,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-03,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-12,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-01,Collar Rot
Chickpea,Vegetative Growth,2024-11-29,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-16,Rust
Chickpea,Germination and Emergence,2024-10-18,Rust
Chickpea,Harvest Stage,2024-11-04,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-06,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-06,Collar Rot
Chickpea,Vegetative Growth,2024-10-27,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-21,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-14,Collar Rot
Chickpea,Harvest Stage,2024-10-09,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-24,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-23,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-06,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-16,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-13,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-06,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-14,Collar Rot
Chickpea,Germination and Emergence,2024-10-08,Ascochyta Blight
Chickpea,Harvest Stage,2024-11-17,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-23,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-10,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-14,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-18,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-03,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-18,Rust
Chickpea,Germination and Emergence,2024-11-23,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-12,Collar Rot
Chickpea,Germination and Emergence,2024-10-10,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-22,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-12,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-20,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-13,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-02,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-29,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-27,Dry Root Rot
Chickpea,Harvest Stage,2024-10-13,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-09,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-20,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-09,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-07,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-03,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-07,Rust
Chickpea,Germination and Emergence,2024-11-26,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-20,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-19,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-11,Collar Rot
Chickpea,Harvest Stage,2024-11-11,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-20,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-16,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-22,Rust
Chickpea,Vegetative Growth,2024-10-20,Fusarium Wilt
